,log_evidence,log_noise_evidence
124,-64828.296119720544,-64825.896096848875
12,-64768.83879518329,-64766.734300839445
14,-65282.11238906197,-65280.02725125963
95,-64819.76125272,-64817.687266115325
51,-64981.8533887328,-64979.920822416825
230,-64730.90659755992,-64728.998216655564
109,-64986.508773938556,-64984.60698174295
0,-64760.29618121012,-64758.44947818645
132,-64706.80152094049,-64705.03538326608
157,-64927.57053162116,-64925.82715137521
6,-64742.776882198945,-64741.0455288195
152,-64540.177111921475,-64538.45020155807
202,-64833.32982185494,-64831.61406607395
249,-64346.31601486503,-64344.6220696848
201,-64716.89199764951,-64715.21818571666
35,-64681.72560866965,-64680.10598676626
93,-64860.34490051278,-64858.737600444256
108,-64810.83655018168,-64809.241559279384
10,-65102.1755097047,-65100.58252335051
103,-64763.9708089083,-64762.384984198005
221,-64966.77547902024,-64965.20044552657
84,-64770.04175320593,-64768.466921982814
91,-64677.87078118336,-64676.3619864054
60,-65052.81953650152,-65051.31395489938
215,-65064.07823906968,-65062.586586828875
236,-65127.24380013449,-65125.77211762111
127,-64920.45379692456,-64918.99938528876
178,-64962.57239667486,-64961.13589368112
200,-64585.851611784325,-64584.43062877383
199,-65098.63444961231,-65097.25849671558
244,-64937.60896904831,-64936.23685579278
57,-64472.166573972296,-64470.79642651143
233,-65154.91488542503,-65153.550994118516
2,-65303.288766079335,-65301.92520052925
255,-65071.99456747522,-65070.64699307503
264,-65135.262633835206,-65133.926607081165
115,-64989.34751152162,-64988.02091707582
53,-64803.720432169655,-64802.41068347359
208,-64941.76440765563,-64940.508733236034
250,-65232.62324968238,-65231.37074552902
238,-65034.75589392895,-65033.503550521615
45,-65491.894449709034,-65490.66100973921
217,-64750.429844340106,-64749.21588801449
20,-65306.56084932952,-65305.37013291275
149,-65082.41630480429,-65081.228752421994
130,-64761.77838582858,-64760.61151867398
90,-64795.660078813984,-64794.493896099324
253,-64877.06784365249,-64875.912697181375
85,-64726.81410629972,-64725.68959145335
228,-65017.27830328049,-65016.18547795938
195,-64865.43189067965,-64864.34984521872
98,-64682.686512155065,-64681.613126764285
135,-64710.601753406474,-64709.539620275544
66,-64992.41383660629,-64991.35294120736
231,-65084.51058497862,-65083.452195263184
219,-64610.498145213154,-64609.456063709324
268,-65260.98582411572,-65259.97412952657
79,-64686.40144272722,-64685.40181169526
118,-65148.79817480106,-65147.85588959965
140,-65138.74751996051,-65137.81205152602
100,-65061.82603007039,-65060.90287508494
239,-64731.533630596496,-64730.61907461059
16,-64937.11029159067,-64936.1984840461
101,-64957.012565370234,-64956.13423544102
39,-64950.308107922225,-64949.44078551496
224,-65057.14016093371,-65056.27404815192
82,-65137.7114641933,-65136.87237890393
31,-64646.18800271292,-64645.35953031469
50,-64718.62493387129,-64717.84936712065
116,-64958.80957764122,-64958.06168409855
133,-65007.60594446983,-65006.86486561469
87,-64825.93008567691,-64825.19243695414
23,-64769.733252421975,-64768.99581848435
24,-65089.73052265978,-65089.00381864588
214,-64560.97140899804,-64560.26317827289
49,-64589.76882620346,-64589.07585362686
75,-65187.501984089824,-65186.81531527166
113,-64855.93334137957,-64855.24964196115
15,-65615.53730735111,-65614.86815083146
3,-64823.53550165175,-64822.891701876746
240,-65267.402517105125,-65266.79039700582
68,-64996.038610463496,-64995.473711674385
267,-64792.17376951643,-64791.66659943252
62,-64936.722698464335,-64936.24222167928
256,-64939.555761707874,-64939.10856661213
213,-65414.08516385722,-65413.64214397084
47,-64724.931783444874,-64724.52607340102
131,-64958.85386087013,-64958.5328323836
196,-64913.148736393574,-64912.857898698865
182,-65059.544832392,-65059.282406787985
270,-65254.032715977744,-65253.78384116093
129,-64722.435284598505,-64722.249191420175
257,-64848.49790660648,-64848.338298190036
70,-64783.391913533516,-64783.32583944741
26,-65149.736651210704,-65149.728647058255
212,-64871.93612923742,-64872.106409514694
163,-64651.466318130515,-64651.65877572124
148,-65180.676115155984,-65181.04239021398
190,-64878.48413170012,-64878.86165788579
209,-64653.55468532553,-64653.956089474836
54,-65172.18286845562,-65172.66109408389
88,-65066.735037098566,-65067.271827489196
121,-64811.585281902306,-64812.14393706961
252,-64532.404289563376,-64532.967311350876
210,-64959.439464564355,-64960.02755539885
7,-64617.46985696674,-64618.067804710554
223,-64471.51131879351,-64472.11548961253
242,-64925.319910764316,-64925.95788964785
222,-65234.27315607113,-65234.98337272173
46,-64709.38764012418,-64710.135159856974
177,-64930.41681423008,-64931.228312741005
145,-64750.52624073475,-64751.356734058885
142,-64891.99468224914,-64892.89346963613
99,-64892.57595695248,-64893.48510596131
266,-64849.54131897558,-64850.45627973462
17,-65082.53384731102,-65083.53189006082
176,-64241.12729901572,-64242.168770679054
271,-65399.38106902867,-65400.59630735793
125,-64908.78824624214,-64910.21626350017
269,-65036.743701247586,-65038.242388814026
27,-65185.91533229003,-65187.45683647996
71,-64968.86220571332,-64970.681190509815
67,-64735.356871371034,-64737.62908013824
229,-65440.98420411624,-65443.30315603045
69,-64881.55609282077,-64883.92014172968
237,-65198.10481511572,-65200.51593005035
92,-65188.81871248787,-65191.27227176714
165,-65126.37688307954,-65128.95476239316
138,-65136.850399094525,-65139.708277530975
65,-65288.02393727349,-65290.98780709633
246,-64484.16301976838,-64487.55295878615
8,-64516.21832599197,-64519.81968307911
262,-64772.544116984696,-64776.648640002175
198,-65201.22341718286,-65205.53973989832
218,-65117.79640863832,-65122.5743661249
1,-64927.01706294514,-64932.02063537008
105,-64946.97550687287,-64952.192117555605
193,-64590.8849208356,-64596.162184881774
76,-64137.13761124843,-64142.580463050224
141,-64526.159700569544,-64531.611469071475
206,-65247.95477897122,-65253.424548167706
97,-64836.19029340357,-64841.69054407737
151,-64683.35330805668,-64689.04189199858
72,-64759.43898587037,-64765.14996185676
56,-64747.27257141218,-64753.52810731699
216,-64896.529294719105,-64902.89871067043
52,-64638.024369411825,-64644.932875204475
143,-64927.75654735072,-64934.70864215704
259,-64911.813455875665,-64919.333812118915
170,-64538.71853133546,-64546.39143792357
188,-65318.826830363556,-65326.55357161457
153,-65020.57246712848,-65028.398863534334
28,-64934.97958726519,-64943.152538888025
139,-65200.62394218673,-65209.232961875394
180,-65349.304035351575,-65358.074596370985
44,-64951.92830667014,-64961.758586358694
186,-64539.85617770071,-64549.70791215777
247,-65227.5791107064,-65237.87905606086
272,-65465.008383850196,-65476.945235476174
55,-64536.40788120747,-64548.48342775536
159,-64782.68367697343,-64795.39345904603
78,-65182.305527560195,-65195.03206425
74,-65125.55841213159,-65138.76067825082
235,-64789.77851578918,-64803.0551437676
144,-65123.818414738584,-65138.40539962373
64,-65219.76856359331,-65235.90612371867
185,-64796.104702325996,-64813.166493826524
232,-64860.49830262741,-64879.410423413436
33,-64517.50569028874,-64538.040227025536
169,-65296.93923640339,-65317.796524744255
155,-65028.92842339907,-65050.37673061412
36,-64541.478100842374,-64563.25270314173
207,-65108.26191115315,-65130.223327747175
58,-64791.926849407064,-64814.610012603654
146,-65147.321344567106,-65170.69933842478
111,-64926.00543588943,-64949.846185520175
164,-64829.17340888126,-64853.117701865194
179,-65328.352757599816,-65353.10632470051
166,-64783.45597833674,-64808.29668285676
83,-65386.280865774606,-65412.77704071767
187,-64566.748937081466,-64594.051815640996
161,-64991.556092806306,-65020.23202041133
77,-65057.514597080604,-65089.75227083354
150,-64828.67516405834,-64861.23827733549
13,-64908.29984656968,-64944.175651490536
167,-65052.53888077442,-65090.76798363742
32,-65178.78618301822,-65217.63842709857
110,-64984.58084918513,-65029.92194547159
134,-64757.36395884497,-64803.8765598221
175,-65171.04827263183,-65222.27942343165
63,-65115.05003973497,-65166.31326978718
11,-64774.641276504284,-64832.937576519274
184,-65327.892139279655,-65387.94560138336
112,-65066.11497055363,-65133.78108327418
147,-64487.85805789888,-64566.13336182054
9,-65382.10244452809,-65478.30466912335
120,-64873.283627479104,-64993.464140889744
194,-64616.75316982095,-64877.482675800085
